遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
包装很好，不不饿，跟朋友拼单，很合适，喜欢，继续活动,包装|很好,1
这是第三次买了保湿效果不错，这次还送了盒子，谢谢老板,保湿效果|不错,1
很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般,遮瑕|挺好的,0
收到了，遮瑕效果好，价格实惠，物有所值，开心，棒棒哒，会再次光临,遮瑕效果|实惠,0
****物流速度快，商品价格优惠,物流速度|优惠,0
还没用，送了面膜，包装还不错，忘记拍照了，物流还蛮快,物流|还蛮快,1
卖家发货速度快的，质量好，价格便宜,价格|快,0
包装的很好，也很优惠，买了三组,包装|很好,1
面膜刚到很喜欢，包装也非常好，运货速度也非常快非常满意,包装|非常快,0
价格便宜活动给力，夏天防晒配卸妆，不错。价格便宜活动给力，夏天防晒配卸妆，不错,价格|给力,0
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,颜值|很好,0
酒精味道比较浓郁,酒精味道|比较浓郁,1
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,活动|很好,0
对我来说泡沫过于多了，不过质地很温和，洗完之后很舒服,质地|很温和,1
佩服**的速度，早晨定晚上就收到了，还没用，不知道效果如何，用了在评论,速度|佩服,1
帮朋友买的价格合算，送货速度很快,送货速度|合算,0
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,物流|很快,1
包装精美，物流还是一如既往的快，还没用过这个面膜，用过了再来评价,物流|精美,0
**发货送货很快，服务态度很好，质量值得信赖，好评,质量|很快,0
非常满意，没有异味，瓶口方便，使用无异常不适。推荐购买,异味|没有,1
上午拍的下午就到了，物流没得说，用这牌子两年了，其它面膜再没用过,物流|没得说,1
价格便宜活动给力，夏天防晒配卸妆，不错。价格便宜活动给力，夏天防晒配卸妆，不错,活动|便宜,0
很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,价格|很快,0
商品是正品哦，质量棒棒哒，**的服务跟物流一样棒哦,物流|棒,1
价格便宜实惠东西不错，正品下次再来，包装也好，有档次,价格|有档次,0
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,到货|快,1
清洁度还不错，保湿效果很好,保湿效果|很好,1
粉质细，上妆轻薄透亮，紫色提亮肤色不夸张，物美价廉，会回购喜欢，要上加上防就更好了方便一瓶搞定,上妆|不夸张,0
功能性好，没有过敏的情况，比较温和，价格实惠,价格|实惠,1
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,补水效果|不错,1
物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错,精华液|很多,1
东西收到了，包装也很细心，具体如何还没试，所以也不知道,包装|很细心,1
看着还不错，就是包装有点简陋，试了再追评,包装|有点简陋,1
给妈妈买的，之前自己已经买了一支大的，不油腻，好抹开。这次活动价格并没有便宜很多,活动价格|没有便宜很多,1
这个面膜不好用，保湿不好，包装也不好，差评,保湿|不好,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,活动|挺多的,0
当天买就收到了，物流很给力，快递小哥也很给力，宝贝还没用。看着不错,快递小哥|很给力,1
拿回来用了几片，保温效果挺好的，第一次用皮肤也没有出现过敏现象,保温效果|挺好的,1
**的物流真是超级快，东西还没用，赠品也不错,赠品|超级快,0
用过才来评价的，自然色擦到脸上感觉颜色有点暗，别的还好,颜色|有点暗,1
补水效果很好，面膜很服帖，好用下次会回购,补水效果|很好,1
挺好的，底色很好，使用起来也很方便的,底色|很好,1
很好用，清爽不油腻，价格还便宜,价格|便宜,1
很好，物流也很快，服务态度，很好,服务态度|很好,1
好，价格实惠，很好用买一送一超级划算**物流超快！非常满意,价格|实惠,1
用了两年这个了！非常喜欢她的味道！保湿效果很好，我很喜欢,味道|很好,0
正在用，补水效果不错,补水效果|不错,1
产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞,快递小哥|给力,0
还可以吧，不是那么水润，味道有点大，物流挺快的,味道|有点大,1
刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到,物流|没收到,0
快递小哥很热情，送货速度很快，挺好的,快递小哥|很热情,1
挺好的，就是物流有点慢，可能是因为偏吧,物流|有点慢,1
实惠好用，包装精美，大品牌就是好,包装|精美,1
这个遮瑕效果一般,遮瑕效果|一般,1
补水效果挺好的,补水效果|挺好的,1
快递师傅很给力,快递师傅|很给力,1
物流很快，包装不错，第一次使用这个牌子，期待,物流|很快,1
挺温和的，但清洁效果不是很好,清洁效果|不是很好,1
宝贝到了，包装完整，打开后宝贝也很漂亮，味道也是很不错，满意,包装|很不错,0
帮朋友买的，比专柜便宜多了，搞活动买很划算,活动|很划算,1
味道挺好闻的，上妆效果很好,味道|很好,0
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,包装|很好,1
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,精华|蛮多,1
一直用这款，保湿补水效果不错,补水效果|不错,1
第一次使用气垫，果然比霜好用多了，很细腻，也很提亮肤色，相当不错，**快递更是没得说,快递|没得说,1
面膜很不错，补水挺好的，价格也很实惠，还送了三敷眼贴，很好用,补水|很实惠,0
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,客服服务态度|不错,1
很好，很喜欢。建议购买。我还分了一盒给我妈，我觉得卸妆也挺好的，还有泡沫很多哦,卸妆|挺好的,1
比较显白，有一点淡淡的香味，发货速度挺快,发货速度|淡淡的,0
物流慢死，付款天才发货，买了几百块也没赠品,赠品|没,1
礼盒很精美，以为买了很多，其实收到也就一点点，赠品很丰富,赠品|很丰富,1
有的不知道是什么原因，贴上就有一块一块像是透气，可戴包装还是完好无损！贴十贴有两贴是这样的，求解释,包装|完好无损,1
买给妈妈用的，快递非常给力，产品价格做活动力度大，很便宜,活动力度|大,1
瓶子很漂亮很喜欢也很好用快递很快态度好,快递|很漂亮,0
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,清洁|很划算,0
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,物流|很好,0
用了小样，泡泡很少，感觉清洁不是很够，但是真的很温和,清洁|很少,0
效果很好，价格很便宜,效果|很便宜,0
非常满意，没有异味，瓶口方便，使用无异常不适。推荐购买,瓶口|没有,0
老婆交代一定买这个，收到货先晒晒，快递小哥很给力！希望包装能好点,快递小哥|很给力,1
不错哦。速度很快，。以后就买****的了,速度|很快,1
使用后好清淡的香味，也不是那种特别厚重的百，很薄很透，非常喜欢，后期用后再追加评价,香味|好清淡,1
价格很优惠，就是保质期太短了，给个好评鼓给个励，商品很不错,价格|太短,0
买给妈妈用的，快递非常给力，产品价格做活动力度大，很便宜,快递|大,0
还好吧，物流很给力，快递员态度很好，就是好小一支啊，好评吧,物流|很好,0
卸妆效果很一般嘛，而且包装也很简陋，不建议购买,包装|很一般,0
宝贝收到了，物流超快，买了两三天就到了，延展性很好，买的紫色，调节肤色，很好用，还会回购的,延展性|超快,0
上妆效果：有点假面，比较厚重，持久情况：很好，适合肤质：油皮,上妆效果|很好,0
**快递太给力了，昨天下单，今天收到,快递|太给力了,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,保湿|没有感觉,0
棒棒哒，一直用这款隔离，效果很好。搞活动买的很划算,效果|很划算,0
此次活动超级合适，买了整整一大箱子，送货速度非常快！面膜的精华液很多！很好,活动|超级合适,1
用了一段时间才来评价的，洗面奶很好用，泡沫丰富细腻，好,泡沫|细腻,1
包装好物流快给力,物流|给力,1
好用，颜值也高不错,颜值|高,1
送货速度快包装很好,送货速度|快,1
不错比在超市和店里买划算卖家和快递服务都不错给五星好评,快递服务|不错,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,清洁效果|刚刚合适,0
宝贝收到了，我要投诉快递员，服务态度不好，还反说我这个人说话不好听,快递员|投诉,1
宝贝收到了，迫不及待打开包装，味道很好，晚上试试，卖家好有爱，买一份送一份哦，还会继续购买的哦,味道|很好,1
多次购买了，用着效果很好，价格便宜,价格|便宜,1
个人情况：混合性肌肤，整体描述：还行，滋润及保湿：保湿感觉差一些，有点干，吸收情况：属亚光，吸收还好,吸收|有点干,0
性价比高，用后皮肤很好，质量不错,性价比|高,1
还可以吧，一股浓浓的酒精味,酒精味|浓浓的,1
用了小样，泡泡很少，感觉清洁不是很够，但是真的很温和,泡泡|不是很够,0
比较满意，送了两个替换装。**的物流就是快昨天买的今天就到了。快递小哥服务态度比较好,快递小哥服务态度|就是快,0
味道很好闻，清洁能力也不错，我是敏感肌肤，用了没有过敏,清洁能力|不错,1
个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的,上妆|比较滋润,1
收到货了物流特别快隔离特别好,隔离|特别好,1
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,物流速度|很好,0
东西还没来得及用，主要是给快递小哥点赞，风雨无阻,快递小哥|点赞,1
在手上试了一下，不油腻，很自然，味道很好闻，不知出汗后怎样，用的好后会追评，物流很快，满意,味道|很好闻,1
味道很好闻，清洁能力也不错，我是敏感肌肤，用了没有过敏,味道|很好闻,1
好，不错价格实惠物流快,物流|实惠,0
物流特别特别给力，卖家服务态度非常好，用的好在光顾,物流|特别特别给力,1
东西不错，大小也合适。补水效果不错呦,大小|不错,0
一直在用***的产品，好用，值得信赖！快递也很给力,快递|很给力,1
囤货中，还没用，补水应该是没什么问题，毕竟这么便宜，要求也不能太多,补水|没什么问题,1
一直都在用这个牌子，感觉很好用，价格亲民，上妆效果很好,上妆效果|亲民,0
物流好快昨天下的单今天就到了，第一次用感觉挺好的,物流|好快,1
没有赠品了,赠品|没有,1
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,质量|好,0
手上试用了一下，味道真的像洗发水，香味有点不太喜欢，质地挺轻薄的，抹上也挺滋润,香味|轻薄,0
一般般啦，而且这香味也太重了吧,香味|太重,1
物流很快，一直都是用的这个牌子，用着很舒服，很温和，不刺激，这次活动买一送一，好划算的,物流|很快,1
很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,到货速度|很快,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,气味|少,0
价钱实惠，质量很好的国货产品，第三次购买了,质量|实惠,0
好用，一直在用，第一次在**买，包装严实，**物流太棒了，刚好用完，物流快一天到货特别救急,包装|太棒了,0
超级划算哦，日常补水没问题了，隔天就用，还送了二十片，真的很划算呢,补水|没问题,1
很好的宝贝，非常喜欢，物流也快，服务很好，赞一下,物流|快,1
价钱实惠，质量很好的国货产品，第三次购买了,价钱|实惠,1
面膜是正品，真正的物美价廉，物流给力快递小哥服务态度很好。点赞！需要的请赶快入手啦,快递小哥服务态度|很好,1
物流很快，一直用这个牌子，质量很好是正品，活动买的很划算,质量|很好,1
隔离霜味道很好闻。是我喜欢的味道，就是挤出来的时候一直往外出，止不住,味道|喜欢,1
价格便宜实惠东西不错，正品下次再来，包装也好，有档次,包装|实惠,0
**购物值得信赖，质量好，送货快,送货|快,1
包装好物流快给力,包装|好,1
东西还没开始用，评价是因为我想夸一下物流，那是真的，效率超级高,物流|效率超级高,1
**发货送货很快，服务态度很好，质量值得信赖，好评,服务态度|值得信赖,0
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,清洁能力|很紧密,0
第一次购买，味道很好闻，不知效果怎么样送货很快，**给力，谢谢期待效果,味道|很好闻,1
不错，挺好吸收，香味特别喜欢,香味|特别喜欢,1
服务态度员太差劲一点都不尊重别人,服务态度员|太差劲,1
美美直播间里买的，价格优惠。我之前在这家店铺买过化妆品，质量很好。是正品相信美美，以后会继续关注的,价格|优惠,1
持妆和控油效果都不错，遮暇一般般,遮暇|一般般,1
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,发货|很快,1
**真的是很方便呀，速度又快，东西也不错，超爱互联网时代，为我的生活减压啦。棒棒哒棒棒哒,速度|快,1
在手上试了一下，不油腻，很自然，味道很好闻，不知出汗后怎样，用的好后会追评，物流很快，满意,物流|很快,1
一直都用，非常棒，经济实惠，非常棒赠品好多包装挺好,赠品|好多,1
收到了，面膜效果非常不错**发货也非常给力，赞一下,发货|非常给力,1
粉质细，上妆轻薄透亮，紫色提亮肤色不夸张，物美价廉，会回购喜欢，要上加上防就更好了方便一瓶搞定,粉质|透亮,0
保湿效果还好吧，还喜欢,保湿效果|还好吧,1
第一次买***的面膜，看评论说用着不错买来试试，用了确实很补水，精华液也很多，好评,精华液|很多,1
刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到,服务|超快,0
物流很快，包装不错，第一次使用这个牌子，期待,物流|不错,0
节日做活动便宜了很多，很好用补水保湿效果很好，很满足,保湿效果|很好,1
一直用***，感觉这个是最适合我的，补水效果特别好,补水效果|特别好,1
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,清洁效果|一般,0
这个粉饼好用，送货快，包装盒完好，省时省力,送货|快,1
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,质量|很棒,0
挺好的，遮瑕的效果也特别好，特别喜欢，物流也特别快,物流|特别快,1
还可以，主要是性价比比较高，被种草的,性价比|比较高,1
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,温和程度|很好,1
瓶包装完美，瓶子很好，分量足，卸妆水感觉很少,包装|很少,0
很实惠，清洁皮肤效果很好,清洁皮肤效果|很好,1
味道挺好闻的，上妆效果很好,味道|挺好闻的,1
没有用过，希望好用。感觉方便。**速度快,速度|快,1
补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算,味道|清香,1
补水效果很好，味道也好闻,补水效果|很好,1
和我在店里买的一样，价格还便宜，以后***就在你家买了，希望店家保持正品哦,价格|便宜,1
好，不错价格实惠物流快,价格|实惠,1
挺好的，以前的都比较干燥，这个就质地挺保湿的那种。而且很好闻，持久度也还行吧，对于学生党挺友好的,持久度|还行,1
快递员很细心,快递员|很细心,1
卖家服务态度很好，宝贝很不错，物流也很快,服务态度|很好,1
商品是正品哦，质量棒棒哒，**的服务跟物流一样棒哦,质量|棒棒哒,1
非常好的一款产品！使用没毛病，效果好，包装精美，送人自用都可以！！！推荐大家购买啊！！真的很好,包装|精美,1
宝贝收到了，物流速度，谢谢亲，快递真的快,快递|真的快,1
快寄很给力，第二天就到货，不用苦等好几天，一直在用的一款面膜，水水润润，赞,快寄|很给力,1
产品很好，快递很快，第二天就到了，速度惊人,快递|很快,1
此次活动超级合适，买了整整一大箱子，送货速度非常快！面膜的精华液很多！很好,精华液|非常快,0
补水效果不错，价格也实惠，做活动还会买,补水效果|不错,1
很好卸妆,卸妆|很好,1
宝贝收到了，**物流非常快，包装很好，希望使用效果也好,包装|很好,1
用了好久才来追评，忘记了，非常满意，很喜欢，态度好，物流也特别快给满分,态度|好,1
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,服务态度|很好,0
特别满意，体亮自然,体亮|自然,1
用了感觉有酒精味道，但是很快就挥发，我敏感肌肤，用了不过敏，比安耐晒质地清爽，不油腻，而且擦了有提亮肤色现货,质地|清爽,1
**送货很快，第一次购买这个产品，包装很到位，不错的,包装|很到位,1
颜色好看，服务态度很好。物流快速。希望好用，下次再买,服务态度|快速,0
清爽而光滑，效果不错，色泽唯美，气味甜美，推荐有红血丝的可以用哦,气味|唯美,0
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,质量|淡淡的,0
用过一个了，遮盖力一般，但是很滋润，很好用,遮盖力|一般,1
搞活动买的价格很便宜，很实惠，已经使用过一次，里面的精华液很多，以后会继续关注，期待效果，五星好评,精华液|很多,1
物流挺快的，昨晚下的单今早就收到货了，还送了一盒赠品。一直使用***人鱼面膜挺好的,物流|挺快的,1
物流超快，而且是满满的两大盒，试用了一片，感觉有点味道呢，希望是正品,物流|超快,1
多次购买了，效果不错哦，价格便宜,价格|便宜,1
**快递超级快，是正品,快递|超级快,1
收到了，第二次购买，**没得说服务就是好，尤其是快递小哥服务态度特别好，给你个赞,快递小哥服务态度|就是好,0
价格便宜实惠东西不错，正品下次再来，包装也好，有档次,价格|实惠,1
一流产品，三流快递，直接下降成二流产品！得不偿失,快递|一流,0
黄皮，买的象牙色有点白了，不过过一会就好点，控油情况还行,控油情况|还行,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,精华液|很好,0
刚刚用，还不错，喜欢这颜色和味道，继续使用哦,味道|喜欢,1
味道挺好闻的，上妆效果很好,上妆效果|很好,1
商品不错，价格合适，物流给力，还会再买,物流|合适,0
一直用的这款面膜补水挺好的，用完皮肤又白又亮,补水|挺好,1
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,客服|应该改进,0
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,颜值|很快,0
遮瑕效果超好的，对于干皮可能有点干，超适合油皮用的,遮瑕效果|超好,1
**就是棒，物流超快。价格相当实惠，没想到有那么大瓶。用的很好。干净,价格|相当实惠,1
买一送一价格非常合适，喜欢，用了跟舒服也很符合我的皮肤，还会再来买,价格|非常合适,1
一点都没有遮暇效果，反正只能说不过敏吧,遮暇效果|一点都没有,1
面膜刚到很喜欢，包装也非常好，运货速度也非常快非常满意,包装|非常好,1
快递太给力了，晚上下的单，早上就到了，还送了瓶小的卸妆水，可以出行方便携带啦，用了好用再来评价吧,快递|太给力了,1
不止一次买不来呀，隔离效果好，而且价格非常公道喜欢的朋友可以入手,价格|好,0
物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错,物流|快,1
很不错。不是特别显白，很自然的一款。大家可以放心购买。快递也超快,快递|超快,1
淡淡的香味，保湿效果挺好，容易吸收，适合夏天用,保湿效果|挺好,1
东西不错，厚度适中，大小合适。物美价廉，值得购买，五星好评,厚度|适中,1
卸妆比较干净，用了后基本没粉刺了，鼻子上黑头好像也少了,卸妆|比较干净,1
保湿锁水效果真的很好，趁着还有活动，又下了一单，多存点,锁水效果|很好,1
味道非常好闻，用起来也特别服帖自然，感觉不错，产品价格也很合理,味道|非常好闻,1
包装精美，质量上乘，价格合理，值得购买,价格|合理,1
收到了，第二次购买，**没得说服务就是好，尤其是快递小哥服务态度特别好，给你个赞,快递小哥服务态度|特别好,1
快递速度很快，服务态度很好,快递速度|很快,1
一直在**买东西，质量值得信赖物流还快，以后还会继续关注的,物流|快,1
不错，很好用，客服也很细心，态度也非常好，我的问题都一一做了回答,客服|非常好,0
补水效果特别好，精华液也很多,精华液|很多,1
遮暇效果很好，美白效果也不错，就是味道有点太香，如果没有香味就更好了,味道|不错,0
快递挺快的，今天下单，次日送达，给个好评,快递|挺快的,1
很不错的，一直都是用这个牌子的，喜欢，点赞！**物流速度很快的,物流速度|很快,1
补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算,味道|很划算,0
**快递就是强大，第一次***的，用过之后再来评价,快递|强大,1
****，值得信赖，发货神速，质量上乘,发货|神速,1
物流慢死，付款天才发货，买了几百块也没赠品,赠品|慢死,0
多次购买了，感谢做活动这么便宜，以后双十一还来买，效果好，虽然没有美白，夏天没变黑球，就很好了,活动|这么便宜,1
不止一次买不来呀，隔离效果好，而且价格非常公道喜欢的朋友可以入手,价格|非常公道,1
非常喜欢，物超所值。超赞，物流还常快，商家服务好,商家服务|好,1
物流快，一直在用这个，值得推荐,物流|快,1
老顾客了，已经回购很多次了，产品很好，客服也很好,客服|很好,1
快递没话说，非常好，宝贝收到就用了，补水效果很好，买份共收到片，超合算，下次有活动再回购,快递|没话说,1
虽然还没用，期待效果。包装真心不错，速度也快,包装|快,0
颜色粉粉的，用着很好。不油腻也清爽。继续用,颜色|粉粉的,1
还好吧，物流很给力，快递员态度很好，就是好小一支啊，好评吧,快递员态度|很给力,0
物流快，价格便宜，昨晚今早各试用了一片，滋润补水，我是敏感皮肤用了没有任何不适，推荐购买,物流|快,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,效果|还挺划算的,0
**发货超快，包装也挺好的，三八女神节拍的，价格实惠，查了验证码，是正品，下次回购,价格|实惠,1
已经是第二次回购了，精华很多，也很补水而且用了二次后我鼻子上长的痘痘有消下去，皮肤也满水润的,精华|消下去,0
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,清洁|丰富,0
我去年双十一买的！补水效果不错！是正品，又回购了两盒,补水效果|不错,1
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,物流|还好,0
刚收到，包装很喜欢，还没有用，不知道好不好用,包装|很喜欢,1
颜色偏暗，持久可以,持久|偏暗,0
很好，物流也很快，服务态度，很好,物流|很快,1
今天刚收到。晚上用过再追评哈。看着是正品，感觉用着应该也不错。最主要是价格比较实惠,价格|比较实惠,1
用了年了性价比高而且好用一如既往的会买这款隔离,性价比|高,1
声明不是盗图，一下买了片，却下了两个单物流快，包装严实,物流|严实,0
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,防晒效果|一般,1
颜色比较好看，用后有点清凉的感觉，还可以吧,颜色|比较好看,1
包装太随便了吧连个包装盒都没有,包装盒|没有,1
质优价廉，送货速度快，服务好,送货速度|快,1
好评，**买东西速度快，有保证好评，**买东西速度快，有保证,速度|快,1
挺好吸收的，不油腻，很舒服，美白效果还没看出来,美白效果|没看出来,1
昨晚下单，今早上就到了，快递小哥神速,快递小哥|神速,1
这个面膜不好用，保湿不好，包装也不好，差评,包装|不好,1
做活动，挺优惠的，值得购买,活动|挺优惠的,1
很好用，泡沫不多但是清洁力跟强，有香味，洗完后很补水,泡沫|不多,1
一如既往的好用，非常的服帖，精华液也不多，刚好够脸，而且很清爽，很喜欢,精华液|不多,1
用着还不错，买的紫色那个，性价比算高，眼下看可能会回购,性价比|高,1
***洗面奶收到了，是正品，已使用，洁面很干净，温和不刺激，很好用,洁面|很干净,1
好用，一直在用，第一次在**买，包装严实，**物流太棒了，刚好用完，物流快一天到货特别救急,物流|太棒了,1
几百块钱的产品里给我放个近期在里面，还说都是保质期三四年呢客服态度敷衍了事,保质期|敷衍了事,0
味道闻起来很香，用起来很水润不浮粉，喜欢,味道|很香,1
包装完整，买了两盒，七五折，实惠。用过以后再来追评,包装|完整,1
包装简陋，没有说明书。正品,包装|没有,0
物流很快。买一送一，超级实惠,物流|很快,1
包装看起来还挺不错，试用了下还可以，香香的味道,包装|挺不错,1
很喜欢这个洗面奶。清洁太给力了。洗的很干净,清洁|太给力了,1
**快递速度快，性价比不错，好,性价比|快,0
量不多，这么一小瓶。遮瑕是假，提亮肤色是真，使用后皮肤稍微干燥。不过物流挺快第二天到货的,遮瑕|是假,1
实惠，回购很多次了，速度很快，第二天就到了,速度|很快,1
还可以，量多能用好久,量|多,1
挺好的，一直用的这个牌子的，物流也挺快的,物流|挺快的,1
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,泡沫丰富度|一整天,0
宝贝收到了，只是这包装，确实够随意的，还没用，用后追评,包装|够随意,1
喜欢它的设计，不用倒置瓶口就可以把卸妆水倒出来,设计|喜欢,1
清洁能力：泡沫很多，一搓就有，洗的挺干净的，味道也好闻，很温和,清洁能力|好闻,0
物流很快，用起来感觉补水效果很明显,补水效果|很快,0
卖家发货速度快的，质量好，价格便宜,发货速度|快,1
超级喜欢，小海马服务棒棒哒哦，表白小海马爱你哟,服务|棒棒哒,1
包装很满意，不过还没用,包装|很满意,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,效果|很好,0
物流很快，面膜用后感觉也特别的好，价格也很实惠，喜欢的可以试试哦,价格|很快,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,清洁效果|挺可以,0
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,补水效果|很多,0
商品不错，价格合适，物流给力，还会再买,物流|给力,1
东西不错，价格实惠，以后还会购买,价格|实惠,1
很好，面膜挺薄的，精华挺多的，用着也很舒服,精华|挺多的,1
清洁能力：感觉还行，泡沫不会太多，容易清洁，洗完脸不会很干！忘记拍照了,清洁能力|不会太多,0
收到了，物流很快呢，活动买的很划算哦,物流|很划算,0
挺好用的，上午买的下午就送到了，物流超快,物流|超快,1
和店里的一样，我老公用了好几年，就喜欢这味道,味道|喜欢,1
用了，很不错，活动的时候买的很划算,活动|很划算,1
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,价格|很实惠,1
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,物流|超快,1
不错是正品，价格有优势，快递也很给力，以后会继续购买,快递|很给力,1
两瓶大的还送了两瓶小样试用。非常的实惠，拿着一箱都非常的沉，能用很久了性价比真高,性价比|真高,1
味道很喜欢，价格也很划算,味道|很划算,0
****，物流特别快，纸质不错，刚好遇到活动价，果断下手，有时间再用，到时候再追评,物流|不错,0
物流速度有点慢，第二天没有到达,物流速度|有点慢,1
我是混干皮，觉得还不错，遮瑕四星，持久度四星，也挺好上妆的，就是这个色号比我稍微暗一点，我本来就不算白，这个色号有点黑了,色号|四星,0
物流很快，用起来感觉补水效果很明显,补水效果|很明显,1
防晒隔离效果不错，涂上后肤色显白又不夸张，用完下次还购买,隔离效果|不错,1
刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到,增品|到家,0
已经第二次购买，很柔滑补水效果很好，真心好用,补水效果|很好,1
性价比很高，很好用，每年都要买好多给婆婆给妈妈，双十一价格超级优惠，很满意,价格|很高,0
**快递速度快，昨天下单，今天就到了，面膜与实物相符，效果等用了才知道，不过应该给快递点赞,快递|点赞,1
物流很快，等用过了再在评价,物流|很快,1
挺好的，很喜欢在**购物，价格便宜，送货快，很方便,送货|快,1
还是不错的。产品包装很好,包装|很好,1
一直用的这个牌子，很好用，价格也实惠，买的值,价格|实惠,1
妆感比较厚重，上脸很舒服,妆感|比较厚重,1
补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算,味道|好,0
**的物流真是超级快，东西还没用，赠品也不错,赠品|不错,1
物流很快，货收到就赶快打开看看，体验一下，感觉效果还不错，喜欢的亲们赶快下单,物流|很快,1
感觉可以，很好涂抹，味道也喜欢,味道|喜欢,1
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,活动|丰富,0
看推荐购买，应该补水还可以,补水|还可以,1
价钱实惠，质量很好的国货产品，第三次购买了,价钱|很好,0
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,物流|很实惠,0
补水效果非常好！精华液也特别多！好评,补水效果|特别多,0
这个价钱真是超级值得，赠品好有分量，很好用，易吸收，推荐,价钱|好有分量,0
东西已收到，物流超快，宝贝用的也挺舒服，唯一的就是怎么没送点小礼品呀,物流|超快,1
这个吧，活动时候挺合适的，不错啊，好用，买了好多了,活动|挺合适,1
面膜很不错，补水挺好的，价格也很实惠，还送了三敷眼贴，很好用,补水|挺好的,1
包装完好，快递小哥服务很好，期待用后效果,包装|很好,0
面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意,快递人员服务态度|很好,1
